"";"P5824";"P5826";"P5828";"P5830";"P5832"
"GO:0030131";0,513576869127816;0,585023652261444;1;1;0,163920831160888
"GO:0070688";0,0367763168166408;0,000307852453452284;0,205394043239493;0,00161592817951214;0,0390200761562181
"GO:0048188";1;0,355748921937489;1;0,253639986444225;1
"GO:0070469";0,244356373235934;0,289613246565046;0,182222745780616;1;0,0300610474449897
"GO:0005762";0,451472727481793;1;0,350241701754908;1;0,121599577399759
"GO:0031314";1;1;1;1;1
"GO:0005791";0,129177303138217;0,455016028408594;0,0611356871637421;0,272896378201404;0,138506629707212
"GO:0005614";0,451472727481793;1;1;1;1
"GO:0005596";0,0392301998519615;1;1;1;1
"GO:0000421";0,551026717135867;0,62367764928383;0,437264246616497;0,47810265348009;0,562872584765208
"GO:0031410";0,851629470052111;0,917731693807935;0,913490777941777;0,937226806188065;0,970482762123911
"GO:0060170";1;0,769230265611563;1;0,62306082672553;1
"GO:0043186";1;1;1;1;1
"GO:0033391";1;1;1;1;1
"GO:0071778";1;0,254044200599247;1;0,177179158832846;1
"GO:0033186";0,113139310714978;0,136303070325015;1;0,0928986190653168;0,116687659096311
"GO:0005658";0,113139310714978;0,136303070325015;1;0,0928986190653168;0,116687659096311
"GO:0033093";1;1;1;1;1
"GO:0031302";1;1;1;1;1
"GO:0016528";1;1;1;1;1
"GO:0043034";1;0,210808906152223;1;0,443020337199519;0,0343288426953676
"GO:0005898";1;1;1;1;1
"GO:0045095";7,57195203908735e-05;0,0140224539521122;2,43415547486395e-06;0,000842713273416805;0,00473251569119725
"GO:0032982";1;1;1;1;0,462361940112689
"GO:0022624";3,48024460405952e-05;1,52650397541261e-07;0,0371888874031392;1,29588637404451e-05;0,000702391404540261
"GO:0016460";0,00110059317097008;0,00193759554449094;0,0111378268858639;0,0140582415139654;0,0220583428541274
"GO:0071986";0,0142032521028946;0,216696149276497;1;1;1
"GO:0070652";1;1;1;1;1
"GO:0008278";1;1;1;1;1
"GO:0000118";1;0,62367764928383;1;1;0,562872584765208
"GO:0030991";1;1;1;1;1
"GO:0031306";1;1;1;1;1
"GO:0031588";1;1;1;1;1
"GO:0033257";1;1;1;1;1
"GO:0032996";1;1;1;1;1
"GO:0042622";0,451472727481793;1;0,350241701754908;1;0,462361940112689
"GO:0005844";0,000870042538962971;1,95399369736124e-06;0,0180013703867156;2,75909322820631e-05;5,72687866943746e-07
"GO:0045111";0,481899702758588;0,310597997520598;0,109468357722771;0,378955704009455;0,499074592652612
"GO:0031594";0,216617518796207;0,129961655397607;0,324223575351286;0,378955704009455;0,230526478917426
"GO:0034451";1;1;1;1;1
"GO:0016600";1;1;1;1;1
"GO:0005901";0,355983542505993;0,255902309076478;0,454754265689042;0,518924585482723;0,0668875714313845
"GO:0033162";1;1;1;1;1
"GO:0019898";0,494643715111666;0,13856296065198;1;0,0444868651019248;0,241401721458422
"GO:0042641";0,302502621382778;1;1;0,0316617316093385;1
"GO:0042555";3,57957459297571e-09;7,12578978628825e-05;0,0111378268858639;0,0140582415139654;0,00120870392585093
"GO:0035371";1;1;1;1;1
"GO:0032593";0,181369417065609;1;1;0,149992339279699;0,186821343165385
"GO:0042645";4,69273049275562e-12;1,10285363160929e-07;7,11174161979725e-08;2,1898676049979e-05;1,84875354231303e-08
"GO:0005947";1;1;1;1;1
"GO:0097060";1;0,216696149276497;1;1;0,186821343165385
"GO:0033179";0,21349238416496;1;1;1;1
"GO:0016471";0,00290484850654663;0,323487943169753;1;1;0,281731713910725
"GO:0000792";1;1;0,368659541912571;1;1
"GO:0000178";1;1;1;0,253639986444225;1
"GO:0005746";0,00126554680366517;0,00259600810403797;0,0508186321936831;0,34466622461723;0,0139756550077648
"GO:0071682";0,000198403142898468;2,51485435488254e-06;0,00797718898390272;0,00106699536384873;0,000230591407345126
