"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5827.1.id.csv";"peptide.count.P5827.2.id.csv";"spectra.count.P5827.1.id.csv";"spectra.count.P5827.2.id.csv";"dNSAF.P5827.1.id.csv";"dNSAF.P5827.2.id.csv";"Go.Cc";"norm.sc"
"2";2;"A6NCN2";"A6NCN2";"A6NCN2";"K121P_HUMAN";"Keratin-81-like protein KRT121P";"KRT121P";2;8;0,00494359109759531;2;2;4;4;0,00561269840121755;0,00607830192978359;"extracellular space, keratin filament";0,0013703323055841
"6";6;"O00232";"O00232-1,O00232-2";"O00232-1,O00232-2";"PSD12_HUMAN";"26S proteasome non-ATPase regulatory subunit 12";"PSMD12";1;2;0,000132334066192441;1;1;1;1;NA;NA;"cytosol, proteasome accessory complex, proteasome regulatory particle, nucleoplasm, extracellular vesicular exosome";0,000342583076396026
"12";12;"O00571";"O00571-1,O00571-2";"O00571-1,O00571-2";"DDX3X_HUMAN";"ATP-dependent RNA helicase DDX3X";"DDX3X";10;19;0,000895829526115725;9;10;9;10;NA;NA;"nuclear speck, cytoplasmic stress granule, mitochondrial outer membrane, extracellular vesicular exosome, nucleus, cytoplasm";0,00325453922576225
"15";15;"O14818";"O14818-1";"O14818-1";"PSA7_HUMAN";"Proteasome subunit alpha type-7";"PSMA7";4;7;0,00170326749712207;4;3;4;3;NA;NA;"proteasome core complex, proteasome complex, proteasome core complex, alpha-subunit complex, extracellular vesicular exosome, nucleoplasm, cytosol";0,00119904076738609
"16";16;"O14828";"O14828-1,O14828-2";"O14828-1,O14828-2";"SCAM3_HUMAN";"Secretory carrier-associated membrane protein 3";"SCAMP3";1;1;8,69514901783189e-05;1;NA;1;NA;NA;NA;"extracellular vesicular exosome, integral component of membrane, Golgi membrane";0,000171291538198013
"18";18;"O15143";"O15143";"O15143";"ARC1B_HUMAN";"Actin-related protein 2/3 complex subunit 1B";"ARPC1B";3;5;0,000811079760534318;2;3;2;3;0,00076402552018404;0,00115665842561187;"cytoplasm, extracellular vesicular exosome, Arp2/3 protein complex, actin cytoskeleton";0,000856457690990065
"19";19;"O15144";"O15144";"O15144";"ARPC2_HUMAN";"Actin-related protein 2/3 complex subunit 2";"ARPC2";4;9;0,0018103300255126;4;4;5;4;0,00236847911257053;0,00191234193034497;"focal adhesion, extracellular vesicular exosome, actin cytoskeleton, neuron projection, cytoplasm, cell leading edge, endosome, synapse, plasma membrane, Golgi apparatus, Arp2/3 protein complex, cytosol";0,00154162384378212
"21";21;"O15372";"O15372";"O15372";"EIF3H_HUMAN";"Eukaryotic translation initiation factor 3 subunit H";"EIF3H";6;9;0,00154289490810733;5;4;5;4;0,00201859015275897;0,0016298368724531;"eukaryotic translation initiation factor 3 complex, cytosol, extracellular vesicular exosome, eukaryotic 43S preinitiation complex, eukaryotic 48S preinitiation complex";0,00154162384378212
"22";22;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";1;1;0,000129772761685491;1;NA;1;NA;0,000305610208073616;NA;"membrane, actin cytoskeleton, integral component of plasma membrane, plasma membrane, nuclear membrane";0,000171291538198013
"23";23;"O43175";"O43175";"O43175";"SERA_HUMAN";"D-3-phosphoglycerate dehydrogenase";"PHGDH";3;3;0,00033964916050893;NA;3;NA;3;NA;0,000807273797988025;"cytosol, extracellular vesicular exosome";0,000513874614594039
"24";24;"O43242";"O43242";"O43242";"PSMD3_HUMAN";"26S proteasome non-ATPase regulatory subunit 3";"PSMD3";4;7;0,000791030597914369;4;3;4;3;0,00106448499441372;0,000805762049302654;"cytoplasm, nucleus, proteasome complex, cytosol, proteasome accessory complex, nucleoplasm, extracellular vesicular exosome";0,00119904076738609
"30";30;"O43776";"O43776";"O43776";"SYNC_HUMAN";"Asparagine--tRNA ligase, cytoplasmic";"NARS";5;10;0,00110117398145535;5;4;6;4;0,00155593518344049;0,00104690251661221;"cytoplasm, mitochondrion, extracellular vesicular exosome, cytosol";0,00171291538198013
"32";32;"O60488";"O60488-1,O60488-2";"O60488-1,O60488-2";"ACSL4_HUMAN";"Long-chain-fatty-acid--CoA ligase 4";"ACSL4";3;6;0,000254617443813305;2;3;3;3;NA;NA;"endoplasmic reticulum membrane, lipid particle, extracellular vesicular exosome, peroxisomal membrane, cytoplasm, mitochondrial outer membrane, integral component of membrane, neuronal cell body";0,00102774922918808
"38";38;"O75369";"O75369-1,O75369-2,O75369-3,O75369-4,O75369-5,O75369-6,O75369-7,O75369-8,O75369-9";"O75369-1,O75369-2,O75369-3,O75369-4,O75369-5,O75369-6,O75369-7,O75369-8,O75369-9";"FLNB_HUMAN";"Filamin-B";"FLNB";2;2;5,15367103798388e-06;NA;2;NA;2;NA;NA;"integral component of membrane, cell cortex, actin cytoskeleton, focal adhesion, extracellular vesicular exosome, plasma membrane, cytosol, cytoplasm, stress fiber, Z disc";0,000342583076396026
"39";39;"O75390";"O75390";"O75390";"CISY_HUMAN";"Citrate synthase, mitochondrial";"CS";7;10;0,00129494279364277;5;5;5;5;0,00152477196088231;0,00153890176798146;"mitochondrion, extracellular vesicular exosome, mitochondrial matrix";0,00171291538198013
"48";48;"O76009";"O76009";"O76009";"KT33A_HUMAN";"Keratin, type I cuticular Ha3-I";"KRT33A";0;0;0;0;0;0;0;0;0;"extracellular space, intermediate filament";0
"49";49;"O76011";"O76011";"O76011";"KRT34_HUMAN";"Keratin, type I cuticular Ha4";"KRT34";1;5;0,00238577427386102;1;1;2;3;0,00229002835678659;0,00335718626551888;"extracellular space, intermediate filament";0,000856457690990065
"57";57;"O95232";"O95232-1";"O95232-1";"LC7L3_HUMAN";"Luc7-like protein 3";"LUC7L3";1;2;0,000279371917517376;1;1;1;1;NA;NA;"plasma membrane, focal adhesion, nucleus, U1 snRNP, nuclear speck";0,000342583076396026
"58";58;"O95347";"O95347-1,O95347-2";"O95347-1,O95347-2";"SMC2_HUMAN";"Structural maintenance of chromosomes protein 2";"SMC2";2;2;5,04129775971205e-05;NA;2;NA;2;NA;NA;"condensin complex, cytoplasm, condensed chromosome, cytosol, extracellular vesicular exosome, nucleus, nuclear chromosome, nucleoplasm";0,000342583076396026
"59";59;"O95782";"O95782-1,O95782-2";"O95782-1,O95782-2";"AP2A1_HUMAN";"AP-2 complex subunit alpha-1";"AP2A1";1;1;3,0882463758318e-05;1;NA;1;NA;NA;NA;"apical plasma membrane, basolateral plasma membrane, clathrin-coated endocytic vesicle membrane, cytosol, clathrin coat of trans-Golgi network vesicle, AP-2 adaptor complex, plasma membrane, endocytic vesicle membrane";0,000171291538198013
"61";61;"P00338";"P00338-1,P00338-2,P00338-3,P00338-5";"P00338-1,P00338-2,P00338-3,P00338-5";"LDHA_HUMAN";"L-lactate dehydrogenase A chain";"LDHA";5;10;0,000504889007561524;5;4;5;5;NA;NA;"extracellular vesicular exosome, cytosol, cilium, mitochondrion";0,00171291538198013
"63";63;"P00505";"P00505";"P00505";"AATM_HUMAN";"Aspartate aminotransferase, mitochondrial";"GOT2";2;2;0,000280671321784899;NA;2;NA;2;NA;0,00066709602221336;"mitochondrial inner membrane, mitochondrion, extracellular vesicular exosome, plasma membrane, mitochondrial matrix";0,000342583076396026
"64";64;"P00558";"P00558";"P00558";"PGK1_HUMAN";"Phosphoglycerate kinase 1";"PGK1";23;57;0,00824850611144829;22;22;28;29;0,00954207412258629;0,00997444532014461;"extracellular vesicular exosome, cytosol";0,00976361767728674
"65";65;"P02533";"P02533";"P02533";"K1C14_HUMAN";"Keratin, type I cytoskeletal 14";"KRT14";4;9;0,00180245635203769;4;4;5;4;0,00231110465403101;0,00194700537870574;"keratin filament, cytosol, cell periphery, intermediate filament, extracellular vesicular exosome, nucleus, cytoplasm";0,00154162384378212
"66";66;"P04075";"P04075";"P04075";"ALDOA_HUMAN";"Fructose-bisphosphate aldolase A";"ALDOA";18;101;0,0187822821328266;17;17;48;53;0,0211246568601695;0,0233198014926338;"actin cytoskeleton, platelet alpha granule lumen, cytosol, extracellular space, extracellular vesicular exosome, extracellular region, I band";0,0173004453579993
"67";67;"P04233";"P04233-1,P04233-2,P04233-3";"P04233-1,P04233-2,P04233-3";"HG2A_HUMAN";"HLA class II histocompatibility antigen gamma chain";"CD74";2;2;0,000135910662576021;2;NA;2;NA;NA;NA;"cell surface, Golgi membrane, integral component of lumenal side of endoplasmic reticulum membrane, MHC class II protein complex, plasma membrane, endocytic vesicle membrane, lysosomal membrane, macrophage migration inhibitory factor receptor complex, multivesicular body, extracellular vesicular exosome, lysosomal lumen, NOS2-CD74 complex, integral component of membrane, clathrin-coated endocytic vesicle membrane, external side of plasma membrane, ER to Golgi transport vesicle membrane, trans-Golgi network membrane, transport vesicle membrane, vacuole, intracellular";0,000342583076396026
"68";68;"P04259";"P04259";"P04259";"K2C6B_HUMAN";"Keratin, type II cytoskeletal 6B";"KRT6B";3;5;0,00100971121276306;3;2;3;2;0,00147567850300336;0,000908884563588332;"extracellular vesicular exosome, keratin filament";0,000856457690990065
"69";69;"P04264";"P04264";"P04264";"K2C1_HUMAN";"Keratin, type II cytoskeletal 1";"KRT1";23;70;0,00772403069117749;23;20;35;35;0,00896244808730872;0,00931742980453593;"extracellular vesicular exosome, plasma membrane, blood microparticle, extracellular space, membrane, cytoskeleton, keratin filament";0,0119904076738609
"71";71;"P04406";"P04406";"P04406";"G3P_HUMAN";"Glyceraldehyde-3-phosphate dehydrogenase";"GAPDH";19;360;0,0648476427049289;19;17;181;179;0,0767811437687042;0,0766363892981528;"perinuclear region of cytoplasm, extracellular vesicular exosome, GAIT complex, ribonucleoprotein complex, cytosol, nucleus, microtubule cytoskeleton, lipid particle, cytoplasm, plasma membrane";0,0616649537512847
"72";72;"P04792";"P04792";"P04792";"HSPB1_HUMAN";"Heat shock protein beta-1";"HSPB1";3;7;0,00206053824042084;2;3;2;5;0,00138642679760226;0,00349818645794811;"spindle, extracellular vesicular exosome, cytoskeleton, cytoplasm, nucleus, extracellular space, Z disc, proteasome complex, plasma membrane, cytosol";0,00119904076738609
"76";76;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";4;11;0,0039409180558827;4;4;5;6;0,0043713540668248;0,00495045370271468;"integral component of membrane, mitochondrial nucleoid, integral component of plasma membrane, mitochondrion, mitochondrial inner membrane, MMXD complex";0,00188420692017814
"79";79;"P05198";"P05198";"P05198";"IF2A_HUMAN";"Eukaryotic translation initiation factor 2 subunit 1";"EIF2S1";3;4;0,000766277259476232;1;3;1;3;0,000451138878584862;0,00136595852167498;"polysome, nucleus, extracellular vesicular exosome, cytoplasmic stress granule, eukaryotic translation initiation factor 2 complex, cytosol";0,000685166152792052
"80";80;"P05387";"P05387";"P05387";"RLA2_HUMAN";"60S acidic ribosomal protein P2";"RPLP2";5;12;0,00629680008873947;4;4;7;5;0,00865009762851844;0,00623589759895098;"extracellular vesicular exosome, cytosolic large ribosomal subunit, cytosol";0,00205549845837616
"81";81;"P05388";"P05388";"P05388";"RLA0_HUMAN";"60S acidic ribosomal protein P0";"RPLP0";11;23;0,00437829554014614;10;11;11;12;0,00493121834162948;0,00542936194735164;"ribonucleoprotein complex, extracellular vesicular exosome, cytoplasm, cytosolic large ribosomal subunit, nucleus, cytosol";0,0039397053785543
"82";82;"P06493";"P06493-1,P06493-2";"P06493-1,P06493-2";"CDK1_HUMAN";"Cyclin-dependent kinase 1";"CDK1";2;5;0,000507948940940684;2;1;3;2;NA;NA;"cytoplasm, spindle microtubule, cytosol, microtubule organizing center, nucleus, mitochondrion, nucleoplasm, extracellular vesicular exosome, midbody";0,000856457690990065
"83";83;"P06576";"P06576";"P06576";"ATPB_HUMAN";"ATP synthase subunit beta, mitochondrial";"ATP5B";13;30;0,00342217396127145;10;13;12;18;0,00322363886777085;0,00488026768613555;"mitochondrial nucleoid, mitochondrial membrane, mitochondrial proton-transporting ATP synthase, catalytic core, mitochondrial matrix, mitochondrial proton-transporting ATP synthase complex, extracellular vesicular exosome, cell surface, mitochondrion, plasma membrane";0,00513874614594039
"84";84;"P06733";"P06733-1";"P06733-1";"ENOA_HUMAN";"Alpha-enolase";"ENO1";11;23;0,0031979716272496;9;10;12;11;NA;NA;"extracellular vesicular exosome, plasma membrane, cytoplasm, nucleus, phosphopyruvate hydratase complex, extracellular space, M band, cytosol";0,0039397053785543
"87";87;"P07195";"P07195";"P07195";"LDHB_HUMAN";"L-lactate dehydrogenase B chain";"LDHB";4;8;0,0016059703042915;3;4;3;5;0,00143597910268123;0,00236179953972245;"extracellular vesicular exosome, mitochondrion, cytoplasm, cytosol";0,0013703323055841
"89";89;"P07437";"P07437";"P07437";"TBB5_HUMAN";"Tubulin beta chain";"TUBB";4;18;0,00978427331821088;3;4;8;10;0,0105265738336468;0,0126373537677895;"cytosol, cell body, microtubule, nuclear envelope lumen, extracellular vesicular exosome, cytoskeleton";0,00308324768756423
"90";90;"P07737";"P07737";"P07737";"PROF1_HUMAN";"Profilin-1";"PFN1";4;8;0,00344824766764305;4;3;4;4;0,00406024990726376;0,00409787556502493;"extracellular vesicular exosome, synapse, nucleus, cytosol, cytoskeleton, neuron projection, blood microparticle";0,0013703323055841
"92";92;"P07900";"P07900-1,P07900-2";"P07900-1,P07900-2";"HS90A_HUMAN";"Heat shock protein HSP 90-alpha";"HSP90AA1";6;12;0,000786904506867126;6;6;6;6;NA;NA;"cytosol, plasma membrane, mitochondrion, extracellular vesicular exosome, melanosome, nucleus, extracellular region, endocytic vesicle lumen, cytoplasm";0,00205549845837616
"93";93;"P07910";"P07910-2,P07910-4";"P07910-2,P07910-4";"HNRPC_HUMAN";"Heterogeneous nuclear ribonucleoproteins C1/C2";"HNRNPC";12;27;0,00266225003751853;12;8;15;12;NA;NA;"spliceosomal complex, extracellular vesicular exosome, catalytic step 2 spliceosome, nucleus, nucleoplasm";0,00462487153134635
"94";94;"P08107";"P08107-1,P08107-2,P34931";"P08107-1,P08107-2,P34931";"HS71L_HUMAN, HSP71_HUMAN";"Heat shock 70 kDa protein 1-like, Heat shock 70 kDa protein 1A/1B";"HSPA1B,HSPA1A, HSPA1L";2;3;0,00010640876901406;1;2;1;2;0,000245824527513744;0,000514986962149952;"nucleus, cytosol, blood microparticle, nuclear speck, inclusion body, perinuclear region of cytoplasm, extracellular vesicular exosome, ribonucleoprotein complex, aggresome, endoplasmic reticulum, mitochondrion, cytoplasm";0,000513874614594039
"95";95;"P08195";"P08195-1,P08195-2,P08195-3,P08195-4";"P08195-1,P08195-2,P08195-3,P08195-4";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";4;6;0,000143676986151794;3;2;4;2;NA;NA;"integral component of membrane, apical plasma membrane, cytoplasm, nucleus, melanosome, cell junction, plasma membrane, extracellular vesicular exosome";0,00102774922918808
"96";96;"P08238";"P08238";"P08238";"HS90B_HUMAN";"Heat shock protein HSP 90-beta";"HSP90AB1";5;10;0,00144506863269195;4;4;5;5;0,00181784638066139;0,00160582454284053;"brush border membrane, inclusion body, cytosol, basolateral plasma membrane, apical plasma membrane, extracellular vesicular exosome, cell surface, mitochondrion, cytoplasm, melanosome";0,00171291538198013
"100";100;"P08670";"P08670";"P08670";"VIME_HUMAN";"Vimentin";"VIM";4;7;0,000951782953327439;3;4;3;4;0,000963013870030934;0,00128974624364161;"cell leading edge, cell projection, intermediate filament, intermediate filament cytoskeleton, peroxisome, cytoplasm, extracellular vesicular exosome, cytoskeleton, cytosol";0,00119904076738609
"103";103;"P08779";"P08779";"P08779";"K1C16_HUMAN";"Keratin, type I cytoskeletal 16";"KRT16";4;6;0,00119909710805045;3;3;3;3;0,001383731158608;0,00145716681619838;"intermediate filament, extracellular vesicular exosome";0,00102774922918808
"104";104;"P08865";"P08865";"P08865";"RSSA_HUMAN";"40S ribosomal protein SA";"RPSA";7;19;0,00388658423556377;7;7;9;10;0,00433552108741723;0,0048618862635889;"plasma membrane, cytoplasm, nucleus, 90S preribosome, cytosol, cytosolic small ribosomal subunit, extracellular vesicular exosome";0,00325453922576225
"107";107;"P09496";"P09496-2";"P09496-2";"CLCA_HUMAN";"Clathrin light chain A";"CLTA";1;1;0,000243323928160296;NA;1;NA;1;NA;NA;"clathrin complex, clathrin-coated endocytic vesicle membrane, cytoplasmic membrane-bounded vesicle, trans-Golgi network membrane, plasma membrane, clathrin coat of trans-Golgi network vesicle, clathrin coat, cytosol, intracellular membrane-bounded organelle, clathrin coat of coated pit";0,000171291538198013
"109";109;"P09651";"P09651-1,P09651-2,P09651-3";"P09651-1,P09651-2,P09651-3";"ROA1_HUMAN";"Heterogeneous nuclear ribonucleoprotein A1";"HNRNPA1";3;8;0,00127081178480162;3;3;4;4;NA;NA;"spliceosomal complex, extracellular vesicular exosome, intermediate filament cytoskeleton, cytoplasm, ribonucleoprotein complex, nucleus, nucleoplasm, catalytic step 2 spliceosome";0,0013703323055841
"112";112;"P09972";"P09972";"P09972";"ALDOC_HUMAN";"Fructose-bisphosphate aldolase C";"ALDOC";3;14;0,00260348465207497;3;3;7;7;0,00308067912544138;0,00307997378204598;"axon, mitochondrion, cytosol, cytoskeleton, extracellular vesicular exosome";0,00239808153477218
"113";113;"P0C0S8";"P0C0S8,P20671,Q16777,Q6FI13,Q96KK5,Q99878,Q9BTM1-1,Q9BTM1-2";"P0C0S8,P20671,Q16777,Q6FI13,Q96KK5,Q99878,Q9BTM1-1,Q9BTM1-2";"H2A1_HUMAN, H2A1D_HUMAN, H2A1H_HUMAN, H2A1J_HUMAN, H2A2A_HUMAN, H2A2C_HUMAN, H2AJ_HUMAN";"Histone H2A type 1, Histone H2A type 1-D, Histone H2A type 1-H, Histone H2A type 1-J, Histone H2A type 2-A, Histone H2A type 2-C, Histone H2A.J";"H2AFJ, HIST1H2AD, HIST1H2AH, HIST1H2AJ, HIST1H2AM,HIST1H2AL,HIST1H2AG,HIST1H2AI,HIST1H2AK, HIST2H2AA3,HIST2H2AA4, HIST2H2AC";3;17;0,000993081975918496;3;3;10;7;0,0018336612484417;0,0012954574366853;"nucleus, extracellular vesicular exosome, nucleosome";0,00291195614936622
"116";116;"P10599";"P10599";"P10599";"THIO_HUMAN";"Thioredoxin";"TXN";2;3;0,00172412383382152;1;2;1;2;0,00135341663575459;0,00273191704334995;"mitochondrion, extracellular vesicular exosome, cytoplasm, nucleus, nucleoplasm, cytosol";0,000513874614594039
"117";117;"P10809";"P10809";"P10809";"CH60_HUMAN";"60 kDa heat shock protein, mitochondrial";"HSPD1";5;9;0,000947816767284083;4;5;4;5;0,000992033136155194;0,00125153267692733;"mitochondrion, coated pit, secretory granule, mitochondrial matrix, extracellular space, protein complex, mitochondrial inner membrane, plasma membrane, extracellular vesicular exosome, early endosome, cytoplasm, cell surface, coated vesicle, cytosol, lipopolysaccharide receptor complex";0,00154162384378212
"118";118;"P11021";"P11021";"P11021";"GRP78_HUMAN";"78 kDa glucose-regulated protein";"HSPA5";4;6;0,000594126360278618;3;3;3;3;0,000684468734366711;0,000720574449507441;"endoplasmic reticulum chaperone complex, endoplasmic reticulum, cell surface, nucleus, midbody, melanosome, integral component of endoplasmic reticulum membrane, extracellular vesicular exosome, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen, endoplasmic reticulum membrane";0,00102774922918808
"119";119;"P11142";"P11142-1";"P11142-1";"HSP7C_HUMAN";"Heat shock cognate 71 kDa protein";"HSPA8";15;32;0,00337872549538142;13;13;16;16;NA;NA;"extracellular vesicular exosome, intracellular, plasma membrane, ribonucleoprotein complex, nucleolus, blood microparticle, Prp19 complex, cytosol, melanosome, spliceosomal complex, clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane, nucleus";0,00548132922233642
"121";121;"P11233";"P11233";"P11233";"RALA_HUMAN";"Ras-related protein Ral-A";"RALA";2;6;0,00175760196651709;2;2;4;2;0,00275939314085886;0,00139248198811527;"cleavage furrow, cell surface, midbody, cytoplasmic vesicle membrane, plasma membrane, extracellular vesicular exosome";0,00102774922918808
"122";122;"P11277";"P11277-1,P11277-2,P11277-3";"P11277-1,P11277-2,P11277-3";"SPTB1_HUMAN";"Spectrin beta chain, erythrocytic";"SPTB";2;2;1,88252485365008e-05;2;NA;2;NA;NA;NA;"spectrin-associated cytoskeleton, protein complex, actin cytoskeleton, cell surface, intrinsic component of the cytoplasmic side of the plasma membrane, spectrin, cytosol, cytoplasm";0,000342583076396026
"123";123;"P11586";"P11586";"P11586";"C1TC_HUMAN";"C-1-tetrahydrofolate synthase, cytoplasmic";"MTHFD1";18;38;0,00245249700425949;17;15;21;17;0,0031917472533036;0,00260773899592495;"extracellular vesicular exosome, mitochondrion, cytosol";0,00650907845152449
"125";125;"P12004";"P12004";"P12004";"PCNA_HUMAN";"Proliferating cell nuclear antigen";"PCNA";3;3;0,000693613036594865;3;NA;3;NA;0,00163343387073829;NA;"cytoplasm, extracellular vesicular exosome, nuclear replication fork, PCNA complex, nucleoplasm, nucleus, PCNA-p21 complex, DNA replication factor C complex";0,000513874614594039
"129";129;"P12268";"P12268";"P12268";"IMDH2_HUMAN";"Inosine-5'-monophosphate dehydrogenase 2";"IMPDH2";2;4;0,000469605713492244;1;2;2;2;0,000552952322000901;0,000558076438816624;"cytoplasm, nucleus, peroxisomal membrane, cytosol, extracellular vesicular exosome";0,000685166152792052
"134";134;"P13164";"P13164,Q01628,Q01629";"P13164,Q01628,Q01629";"IFM1_HUMAN, IFM2_HUMAN, IFM3_HUMAN";"Interferon-induced transmembrane protein 1, Interferon-induced transmembrane protein 2, Interferon-induced transmembrane protein 3";"IFITM1, IFITM2, IFITM3";1;3;0,000464187186028872;1;1;1;2;0,000364381401933927;0,000735516127055756;"integral component of membrane, plasma membrane";0,000513874614594039
"135";135;"P13639";"P13639";"P13639";"EF2_HUMAN";"Elongation factor 2";"EEF2";24;45;0,00328000036408831;23;21;24;21;0,00411703661925346;0,00364043335613455;"polysome, cytosol, extracellular vesicular exosome, ribonucleoprotein complex";0,00770811921891059
"136";136;"P13645";"P13645";"P13645";"K1C10_HUMAN";"Keratin, type I cytoskeletal 10";"KRT10";22;71;0,00801645597641173;21;22;36;35;0,00955533922635494;0,00940980653986809;"extracellular vesicular exosome, cytoplasm, extracellular space, intermediate filament, keratin filament";0,0121616992120589
"137";137;"P13646";"P13646-1,P13646-3";"P13646-1,P13646-3";"K1C13_HUMAN";"Keratin, type I cytoskeletal 13";"KRT13";0;0;0;0;0;0;0;NA;NA;"intermediate filament cytoskeleton, keratin filament, extracellular vesicular exosome";0
"138";138;"P13647";"P13647";"P13647";"K2C5_HUMAN";"Keratin, type II cytoskeletal 5";"KRT5";12;23;0,00276098118031625;10;11;11;12;0,00309875584940744;0,00343906066643529;"plasma membrane, cytosol, extracellular vesicular exosome, intermediate filament, cytoplasm, mitochondrion, keratin filament";0,0039397053785543
"139";139;"P13796";"P13796";"P13796";"PLSL_HUMAN";"Plastin-2";"LCP1";2;4;0,000384971828923466;2;2;2;2;0,000453297437812541;0,000457498069460518;"cytosol, extracellular space, ruffle, actin filament, actin filament bundle, actin cytoskeleton, ruffle membrane, plasma membrane, extracellular vesicular exosome, phagocytic cup, focal adhesion, filopodium, cytoplasm";0,000685166152792052
"140";140;"P14174";"P14174";"P14174";"MIF_HUMAN";"Macrophage migration inhibitory factor";"MIF";1;2;0,00104946668145658;1;1;1;1;0,00123572823264549;0,0012471795197902;"extracellular space, cell surface, extracellular region, extracellular vesicular exosome, cytoplasm";0,000342583076396026
"141";141;"P14618";"P14618-1";"P14618-1";"KPYM_HUMAN";"Pyruvate kinase isozymes M1/M2";"PKM";24;47;0,00534121225355255;20;22;22;25;NA;NA;"cilium, cytosol, mitochondrion, plasma membrane, extracellular vesicular exosome, nucleus, cytoplasm";0,00805070229530661
"142";142;"P14625";"P14625";"P14625";"ENPL_HUMAN";"Endoplasmin";"HSP90B1";3;4;0,000343536504871038;3;1;3;1;0,000597281469857449;0,000208380969994003;"extracellular vesicular exosome, melanosome, midbody, cytosol, endoplasmic reticulum, endoplasmic reticulum lumen, perinuclear region of cytoplasm, plasma membrane, endoplasmic reticulum membrane, endocytic vesicle lumen, extracellular region";0,000685166152792052
"145";145;"P14866";"P14866-1";"P14866-1";"HNRPL_HUMAN";"Heterogeneous nuclear ribonucleoprotein L";"HNRNPL";7;15;0,00153678270417029;5;7;6;9;NA;NA;"nucleoplasm, ribonucleoprotein complex, extracellular vesicular exosome, cytoplasm, nucleus";0,0025693730729702
"146";146;"P14868";"P14868";"P14868";"SYDC_HUMAN";"Aspartate--tRNA ligase, cytoplasmic";"DARS";9;17;0,00204761213797167;7;8;8;9;0,00226920154497775;0,00257650858878813;"cytoplasm, extracellular vesicular exosome, cytosol";0,00291195614936622
"147";147;"P14923";"P14923";"P14923";"PLAK_HUMAN";"Junction plakoglobin";"JUP";2;2;0,000161998212573834;NA;2;NA;2;NA;0,000385035287988919;"intermediate filament, basolateral plasma membrane, nucleus, cell-cell junction, cytoplasm, fascia adherens, cytoplasmic side of plasma membrane, cell-cell adherens junction, extracellular vesicular exosome, actin cytoskeleton, catenin complex, Z disc, zonula adherens, intercalated disc, cytosol, apicolateral plasma membrane, plasma membrane, cytoskeleton, gamma-catenin-TCF7L2 complex, desmosome, protein-DNA complex, lateral plasma membrane";0,000342583076396026
"148";148;"P15311";"P15311";"P15311";"EZRI_HUMAN";"Ezrin";"EZR";2;4;0,000674252068118485;2;2;2;2;0,000780480347793041;0,000815845533423621;"Schwann cell microvillus, nucleolus, plasma membrane, actin filament, filopodium, cell tip, uropod, microspike, apical plasma membrane, microvillus membrane, extrinsic component of membrane, ruffle, apical part of cell, basolateral plasma membrane, microvillus, cell body, actin cytoskeleton, cytosol, cortical cytoskeleton, membrane raft, ruffle membrane, T-tubule, extracellular vesicular exosome, astrocyte projection";0,000685166152792052
"150";150;"P15880";"P15880";"P15880";"RS2_HUMAN";"40S ribosomal protein S2";"RPS2";9;22;0,00453097389775622;8;8;11;11;0,00533514066312815;0,0053845805205959;"extracellular vesicular exosome, cytosol, nucleoplasm, cytosolic small ribosomal subunit";0,00376841384035629
"151";151;"P16615";"P16615-1,P16615-2,P16615-3,P16615-4,P16615-5";"P16615-1,P16615-2,P16615-3,P16615-4,P16615-5";"AT2A2_HUMAN";"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2";"ATP2A2";2;3;3,47472173802802e-05;1;2;1;2;NA;NA;"sarcoplasmic reticulum membrane, sarcoplasmic reticulum, integral component of plasma membrane, membrane, endoplasmic reticulum membrane, intracellular membrane-bounded organelle, platelet dense tubular network membrane";0,000513874614594039
"153";153;"P17844";"P17844";"P17844";"DDX5_HUMAN";"Probable ATP-dependent RNA helicase DDX5";"DDX5";10;18;0,00219293643090805;8;9;8;10;0,00222875341754736;0,00296744693029633;"catalytic step 2 spliceosome, nucleus, ribonucleoprotein complex, nucleolus, extracellular vesicular exosome";0,00308324768756423
"154";154;"P17858";"P17858-1";"P17858-1";"K6PL_HUMAN";"6-phosphofructokinase, liver type";"PFKL";3;5;0,000457154046846616;3;2;3;2;NA;NA;"cytosol, extracellular vesicular exosome, 6-phosphofructokinase complex";0,000856457690990065
"156";156;"P17987";"P17987";"P17987";"TCPA_HUMAN";"T-complex protein 1 subunit alpha";"TCP1";10;19;0,00206212652786207;9;8;11;8;0,00281150398254775;0,00206367834209888;"extracellular vesicular exosome, microtubule, pericentriolar material, acrosomal vesicle, nuclear heterochromatin, chaperonin-containing T-complex, centrosome, zona pellucida receptor complex, cell body, Golgi apparatus, cytosol";0,00325453922576225
